id,text,task
0,las glosas de muñoz que se quede para financiar la campaña son para las farras de los prófugos en venezuela méxico,no violencia política de género
1,usted pavel un gran alcalde,no violencia política de género
2,dígame una ley que hacen desde la asamblea para evitar siga aumentando el desempleo,no violencia política de género
3,el dinero de los afiliados al iess que desapareció fue gasto inversión,no violencia política de género
4,de este caso me estaba acordando,no violencia política de género
5,ojalá no sea la misma innovación de la robolucion ciudadana,no violencia política de género
6,habló la que se ganó tres veces la lotería,no violencia política de género
7,recuerda ese argentino que le dieron tremendo préstamo nunca pago ni apareció cuánta doble moral compañeroñitos,no violencia política de género
8,pierrina calladita tu hermano es el que ha sacado la cara vos ni para madrastra,violencia política de género
9,siempre sido asi los únicos que se llenan los bolsillos con la plata del pueblo son ustedes políticos vagos de quinta categoría,no violencia política de género
10,así es estimada asambleísta de nada sirve tener ahora un título,no violencia política de género
11,jajajajaja jajajajaja todavia crítica,no violencia política de género
12,dejen de robar,violencia política de género
13,rc nefastos destruyeron la patria,no violencia política de género
14,asi mas claro,no violencia política de género
15,creativos esa propaganda la utilizó jamil mahahuad cuando fue candidato la presidencia de la república sino roban hurtan se apropian de lo ajeno,no violencia política de género
16,que asco jamás,no violencia política de género
17,no deseo ser ofensivo pero eres parte de este cártel de delincuentes,violencia política de género
18,vergüenza debe de darte por escribir tanta incoherencia fuistes nefasta en la federación deportiva del guayas tu hno prófugo por corrupto tienes la audacia de joder,violencia política de género
19,nuestra apuesta es que no vas ganar ni experiencia en estas elecciones es tiempo de cambio ya retírate de la política,violencia política de género
20,usted señora payasa no tiene calidad moral para hablar se le hace recordar lo del prófugo su gestión en fedeguayas,violencia política de género
21,le el artículo de fausto ortiz sobre este tema,no violencia política de género
22,quién pidió tu opinión,no violencia política de género
23,millones de cojudos viendo como les siguen robando en sus narices pero son felices viendo los delincuentes con plata aunque ellos sigan viviendo en casas de caña,no violencia política de género
24,si como asambleístas dan ejemplo se bajan el sueldo,no violencia política de género
25,devuelvan los millones mejor,no violencia política de género
26,gasto corriente es el que tiene el estado inversión lo que hicieros los mafiosos que estuvieron en puestos claves en el correismo verdad,no violencia política de género
27,jajaja lo dice una mediocre que ni un puesto de salchipapas tiene ubícate parásito el es un empresario que ha dado trabajo miles de personas mientras que tú lo máximo que has llegado es embobar unos cuantos giles para que voten por ti,violencia política de género
28,te iba ubicar por muda pero no hace falta ya te hicieron mierda,violencia política de género
29,marcelaguinaga un que promueva el arte es parte del que exigen los jóvenes culminamos jornada en con un festival artístico gran iniciativa,no violencia política de género
30,mejor dedíquese trabajar vaga,violencia política de género
31,oe si tan bueno fué porque no regresa mameluco ah ya sé,no violencia política de género
32,ahí si se queda callada la muy indignada correcta pero cuando tenían poder todo el monopolio de los recomendados ahí si no le afectaba cínica ojalá pagues todo el daño que causaste,no violencia política de género
33,en el gobierno del prófugo quien era de ap podía tener acceso trabajo era considerado ecuatoriano ahí tienes sus ahijados de los latín kings los demás éramos como dicen los adolescentes cuanto doble moral compañerita de la robolución como dijo la pame,no violencia política de género
34,no describas tu ñañoshhh,no violencia política de género
35,serán millones los que se vuelven robar,violencia política de género
36,coman verga para pavel nos suba los impuestos no been pabón lo hizo dio mural de la prefectura un colega de ella pagando más de mil dólares ni dios quiera ganen ellos quiteños abran bien los ojos ni se les ocurra votar por estos adefesios,violencia política de género
37,ustedes solo saben de sobreprecios,no violencia política de género
38,otra vez con la misma mierda este hp la burra de la hermana,violencia política de género
39,oye tú pillinacorrea te hablan seguro no dices nada porque deberías tener todo el tiempo la lengua metida en el que estamos cansados de tanto cinismo,violencia política de género
40,tú ayúdalo total te ganaste la lotería veces no te haría falta unos cuantos dólares,no violencia política de género
41,una cosa es el trabajo honesto que tú desconoces otra es vivir de lo ajeno como tú lo sabes,violencia política de género
42,los jóvenes necesitan oportunidad todos sabemos que con la llegarán no solo de palabra sino con planificación criterio,no violencia política de género
43,ve pinche cabrona cínica tu bancada negó la ley que usa apoyaba incrementar fuentes de trabajo perra sucia,violencia política de género
44,eso de los millones es como incómodo,no violencia política de género
45,excelente guido,no violencia política de género
46,se los recomiendo,no violencia política de género
47,si fueran inteligentes no hablarían hvds todos savemos lo uds hicieron apoyaron el narcoterrorismo de quebró mas al país claro esta en juego sus intereses oscuros con el narco,no violencia política de género
48,un que promueva el arte es parte del que exigen los jóvenes culminamos jornada en con un festival artístico gran iniciativa,no violencia política de género
49,pero qué hay que ser del todo sinverguenza para si quiera atreverse cuestionar opinar cuando en la década pasada su hermanito decía humillaba todo el mundo si mencionar lo robado descarada,violencia política de género
50,en verdad compañerita usted es caretuca ni en el intento le queda el disfraz de honestidad son una porquería,violencia política de género
51,hablas de tu hermano verdad cara dura,violencia política de género
52,la que prometio el agua nunca cumplio solo se arreglo la fachada de su cara le dio cabida su familia en el municipio jaajajajaja nunca volveran hptas,violencia política de género
